1704137859;29;33
1704140392;28;32
1704143800;25;25
1704147647;23;21
1704151193;23;22
1704158563;21;17
1704162708;18;10
1704165632;19;11
1704169429;16;9
1704172862;18;10
1704176718;19;13
1704179867;18;12
1704183853;21;14
1704187158;21;15
1704190995;18;11
1704194182;18;12
1704198950;19;13
1704201755;19;15
1704205219;20;13
1704208816;18;10
1704212680;15;9
1704216007;18;13
1704219901;21;16
1704222940;20;13
1704226849;22;16
1704234020;24;18
1704237554;24;18
1704244954;19;11
1704248980;15;8
1704252094;15;8
1704255845;11;6
1704259267;12;6
1704263130;17;9
1704266359;16;8
1704270275;15;8
1704273638;15;8
1704277395;14;8
1704280593;12;7
1704285368;12;6
